type,A,B,name,label::English,label::Français,label::Swahili,French_lab,Swahililab,calculation,appearance,hint::English,hint::Français,hint::Swahili,relevant,default,constraint,constraint_message::Français,constraint_message::Swahili,required,repeat_count
integer,1,A.10.1,age_10,C.10.1 Enter the age of this member,A.10.1 Quel est l'age de ${mem_nm_10},A.10.1 ${mem_nm_10} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_10},${mem_nm_10} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.10.2,age_exact_10,C.1.2 Is the age of the household member exact of approximate?,A.10.2 Est-ce que l'age est exacte ou approximatif?,A.10.2 Je! miaka ya ${mem_nm_10} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_10} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.10.3,literacy_10,C.1.3 Is the household member literate?,A.10.3 Est-ce que${mem_nm_10} est alphabétisé?,A.10.3 Je! ${mem_nm_10} ni musomi?,Est-ce que${mem_nm_10} est alphabétisé?,Je! ${mem_nm_10} ni musomi?,,,,,,${age_10}>4,,,,,yes,
select_one gender_list,4,A.10.4,gender_10,C.1.4 Enter the gender of this member,A.10.4 Quel est le genre de ${mem_nm_10}?,A.10.4 Je! ${mem_nm_10} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_10}?,Je! ${mem_nm_10} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.10.5,relhead_10,C.1.5 Relationship with Household head,A.10.5 Quelle est la relation avec le chef du ménage?,A.10.5 ${mem_nm_10} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_10} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.10.6,resstat_10,What is the residence status within the household?,A.10.6 Quelle est le statut de residence au ménage de ${mem_nm_10}?,A.10.6 Je! ${mem_nm_10} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_10}?,Je! ${mem_nm_10} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.10.7,school_10,What is the level of education?,A.10.7 Quel est le niveau d'education de ${mem_nm_10}?,A.10.7 ${mem_nm_10} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_10}?,${mem_nm_10} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.10.8,reli_10,What is the religion,A.10.8 Quelle est la religion de ${mem_nm_10}?,A.10.8 Dini ya ${mem_nm_10} ni gani?,Quelle est la religion de ${mem_nm_10}?,Dini ya ${mem_nm_10} ni gani?,,,,,,,,,,,yes,
text,9,A.10.9,reli_aut_10,Other religion,A.10.9 Autre religion,A.10.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_10}='96',,,,,yes,
select_one tribe_list,10,A.10.10,etn_10,What is the mother language?,A.10.10 Quelle est le langue maternel de ${mem_nm_10}?,A.10.10 Luga ya ${mem_nm_10} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_10}?,Luga ya ${mem_nm_10} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.10.11,etn_aut_10,Other religion,A.10.11 Autre langue,A.10.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_10}='96',,,,,yes,
select_one occupation_list,12,A.10.12,occup_10,What is the primary occupation,A.10.12 Quelle est la occupation primaire de ${mem_nm_10}?,A.10.12 Kazi ya kawaida ya ${mem_nm_10}?,Quelle est la occupation primaire de ${mem_nm_10}?,Kazi ya kawaida ya ${mem_nm_10}?,,,,,,${age_10}>12,,,,,yes,
text,13,A.10.13,occup_aut_10,Specify,A.10.13 Specifiez,A.10.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_10}='96',,,,,yes,
select_one share5_list,14,A.10.14,timeagr_10,Time spent on agricultural work,A.10.14 Combien de temps dispense ce membre pour travail agricol?,A.10.14 ${mem_nm_10} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_10} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_10}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,11,,mem11,${mem_nm_11},${mem_nm_11},${mem_nm_11},,${mem_nm_11},,,,,,${size} >=11,,,,,,
note,,,note_member_name_11,Please answer the following questions for ${mem_nm_11},Répondez les questions suivants pour ${mem_nm_11},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_11},Répondez les questions suivants pour ${mem_nm_11},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_11},,,,,,,,,,,,
integer,1,A.11.1,age_11,C.11.1 Enter the age of this member,A.11.1 Quel est l'age de ${mem_nm_11},A.11.1 ${mem_nm_11} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_11},${mem_nm_11} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.11.2,age_exact_11,C.1.2 Is the age of the household member exact of approximate?,A.11.2 Est-ce que l'age est exacte ou approximatif?,A.11.2 Je! miaka ya ${mem_nm_11} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_11} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.11.3,literacy_11,C.1.3 Is the household member literate?,A.11.3 Est-ce que${mem_nm_11} est alphabétisé?,A.11.3 Je! ${mem_nm_11} ni musomi?,Est-ce que${mem_nm_11} est alphabétisé?,Je! ${mem_nm_11} ni musomi?,,,,,,${age_11}>4,,,,,yes,
select_one gender_list,4,A.11.4,gender_11,C.1.4 Enter the gender of this member,A.11.4 Quel est le genre de ${mem_nm_11}?,A.11.4 Je! ${mem_nm_11} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_11}?,Je! ${mem_nm_11} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.11.5,relhead_11,C.1.5 Relationship with Household head,A.11.5 Quelle est la relation avec le chef du ménage?,A.11.5 ${mem_nm_11} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_11} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.11.6,resstat_11,What is the residence status within the household?,A.11.6 Quelle est le statut de residence au ménage de ${mem_nm_11}?,A.11.6 Je! ${mem_nm_11} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_11}?,Je! ${mem_nm_11} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.11.7,school_11,What is the level of education?,A.11.7 Quel est le niveau d'education de ${mem_nm_11}?,A.11.7 ${mem_nm_11} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_11}?,${mem_nm_11} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.11.8,reli_11,What is the religion,A.11.8 Quelle est la religion de ${mem_nm_11}?,A.11.8 Dini ya ${mem_nm_11} ni gani?,Quelle est la religion de ${mem_nm_11}?,Dini ya ${mem_nm_11} ni gani?,,,,,,,,,,,yes,
text,9,A.11.9,reli_aut_11,Other religion,A.11.9 Autre religion,A.11.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_11}='96',,,,,yes,
select_one tribe_list,10,A.11.10,etn_11,What is the mother language?,A.11.10 Quelle est le langue maternel de ${mem_nm_11}?,A.11.10 Luga ya ${mem_nm_11} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_11}?,Luga ya ${mem_nm_11} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.11.11,etn_aut_11,Other religion,A.11.11 Autre langue,A.11.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_11}='96',,,,,yes,
select_one occupation_list,12,A.11.12,occup_11,What is the primary occupation,A.11.12 Quelle est la occupation primaire de ${mem_nm_11}?,A.11.12 Kazi ya kawaida ya ${mem_nm_11}?,Quelle est la occupation primaire de ${mem_nm_11}?,Kazi ya kawaida ya ${mem_nm_11}?,,,,,,${age_11}>12,,,,,yes,
text,13,A.11.13,occup_aut_11,Specify,A.11.13 Specifiez,A.11.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_11}='96',,,,,yes,
select_one share5_list,14,A.11.14,timeagr_11,Time spent on agricultural work,A.11.14 Combien de temps dispense ce membre pour travail agricol?,A.11.14 ${mem_nm_11} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_11} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_11}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,12,,mem12,${mem_nm_12},${mem_nm_12},${mem_nm_12},,${mem_nm_12},,,,,,${size} >=12,,,,,,
note,,,note_member_name_12,Please answer the following questions for ${mem_nm_12},Répondez les questions suivants pour ${mem_nm_12},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_12},Répondez les questions suivants pour ${mem_nm_12},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_12},,,,,,,,,,,,
integer,1,A.12.1,age_12,C.12.1 Enter the age of this member,A.12.1 Quel est l'age de ${mem_nm_12},A.12.1 ${mem_nm_12} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_12},${mem_nm_12} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.12.2,age_exact_12,C.1.2 Is the age of the household member exact of approximate?,A.12.2 Est-ce que l'age est exacte ou approximatif?,A.12.2 Je! miaka ya ${mem_nm_12} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_12} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.12.3,literacy_12,C.1.3 Is the household member literate?,A.12.3 Est-ce que${mem_nm_12} est alphabétisé?,A.12.3 Je! ${mem_nm_12} ni musomi?,Est-ce que${mem_nm_12} est alphabétisé?,Je! ${mem_nm_12} ni musomi?,,,,,,${age_12}>4,,,,,yes,
select_one gender_list,4,A.12.4,gender_12,C.1.4 Enter the gender of this member,A.12.4 Quel est le genre de ${mem_nm_12}?,A.12.4 Je! ${mem_nm_12} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_12}?,Je! ${mem_nm_12} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.12.5,relhead_12,C.1.5 Relationship with Household head,A.12.5 Quelle est la relation avec le chef du ménage?,A.12.5 ${mem_nm_12} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_12} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.12.6,resstat_12,What is the residence status within the household?,A.12.6 Quelle est le statut de residence au ménage de ${mem_nm_12}?,A.12.6 Je! ${mem_nm_12} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_12}?,Je! ${mem_nm_12} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.12.7,school_12,What is the level of education?,A.12.7 Quel est le niveau d'education de ${mem_nm_12}?,A.12.7 ${mem_nm_12} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_12}?,${mem_nm_12} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.12.8,reli_12,What is the religion,A.12.8 Quelle est la religion de ${mem_nm_12}?,A.12.8 Dini ya ${mem_nm_12} ni gani?,Quelle est la religion de ${mem_nm_12}?,Dini ya ${mem_nm_12} ni gani?,,,,,,,,,,,yes,
text,9,A.12.9,reli_aut_12,Other religion,A.12.9 Autre religion,A.12.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_12}='96',,,,,yes,
select_one tribe_list,10,A.12.10,etn_12,What is the mother language?,A.12.10 Quelle est le langue maternel de ${mem_nm_12}?,A.12.10 Luga ya ${mem_nm_12} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_12}?,Luga ya ${mem_nm_12} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.12.11,etn_aut_12,Other religion,A.12.11 Autre langue,A.12.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_12}='96',,,,,yes,
select_one occupation_list,12,A.12.12,occup_12,What is the primary occupation,A.12.12 Quelle est la occupation primaire de ${mem_nm_12}?,A.12.12 Kazi ya kawaida ya ${mem_nm_12}?,Quelle est la occupation primaire de ${mem_nm_12}?,Kazi ya kawaida ya ${mem_nm_12}?,,,,,,${age_12}>12,,,,,yes,
text,13,A.12.13,occup_aut_12,Specify,A.12.13 Specifiez,A.12.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_12}='96',,,,,yes,
select_one share5_list,14,A.12.14,timeagr_12,Time spent on agricultural work,A.12.14 Combien de temps dispense ce membre pour travail agricol?,A.12.14 ${mem_nm_12} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_12} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_12}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,13,,mem13,${mem_nm_13},${mem_nm_13},${mem_nm_13},,${mem_nm_13},,,,,,${size} >=13,,,,,,
note,,,note_member_name_13,Please answer the following questions for ${mem_nm_13},Répondez les questions suivants pour ${mem_nm_13},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_13},Répondez les questions suivants pour ${mem_nm_13},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_13},,,,,,,,,,,,
integer,1,A.13.1,age_13,C.13.1 Enter the age of this member,A.13.1 Quel est l'age de ${mem_nm_13},A.13.1 ${mem_nm_13} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_13},${mem_nm_13} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.13.2,age_exact_13,C.1.2 Is the age of the household member exact of approximate?,A.13.2 Est-ce que l'age est exacte ou approximatif?,A.13.2 Je! miaka ya ${mem_nm_13} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_13} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.13.3,literacy_13,C.1.3 Is the household member literate?,A.13.3 Est-ce que${mem_nm_13} est alphabétisé?,A.13.3 Je! ${mem_nm_13} ni musomi?,Est-ce que${mem_nm_13} est alphabétisé?,Je! ${mem_nm_13} ni musomi?,,,,,,${age_13}>4,,,,,yes,
select_one gender_list,4,A.13.4,gender_13,C.1.4 Enter the gender of this member,A.13.4 Quel est le genre de ${mem_nm_13}?,A.13.4 Je! ${mem_nm_13} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_13}?,Je! ${mem_nm_13} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.13.5,relhead_13,C.1.5 Relationship with Household head,A.13.5 Quelle est la relation avec le chef du ménage?,A.13.5 ${mem_nm_13} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_13} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.13.6,resstat_13,What is the residence status within the household?,A.13.6 Quelle est le statut de residence au ménage de ${mem_nm_13}?,A.13.6 Je! ${mem_nm_13} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_13}?,Je! ${mem_nm_13} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.13.7,school_13,What is the level of education?,A.13.7 Quel est le niveau d'education de ${mem_nm_13}?,A.13.7 ${mem_nm_13} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_13}?,${mem_nm_13} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.13.8,reli_13,What is the religion,A.13.8 Quelle est la religion de ${mem_nm_13}?,A.13.8 Dini ya ${mem_nm_13} ni gani?,Quelle est la religion de ${mem_nm_13}?,Dini ya ${mem_nm_13} ni gani?,,,,,,,,,,,yes,
text,9,A.13.9,reli_aut_13,Other religion,A.13.9 Autre religion,A.13.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_13}='96',,,,,yes,
select_one tribe_list,10,A.13.10,etn_13,What is the mother language?,A.13.10 Quelle est le langue maternel de ${mem_nm_13}?,A.13.10 Luga ya ${mem_nm_13} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_13}?,Luga ya ${mem_nm_13} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.13.11,etn_aut_13,Other religion,A.13.11 Autre langue,A.13.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_13}='96',,,,,yes,
select_one occupation_list,12,A.13.12,occup_13,What is the primary occupation,A.13.12 Quelle est la occupation primaire de ${mem_nm_13}?,A.13.12 Kazi ya kawaida ya ${mem_nm_13}?,Quelle est la occupation primaire de ${mem_nm_13}?,Kazi ya kawaida ya ${mem_nm_13}?,,,,,,${age_13}>12,,,,,yes,
text,13,A.13.13,occup_aut_13,Specify,A.13.13 Specifiez,A.13.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_13}='96',,,,,yes,
select_one share5_list,14,A.13.14,timeagr_13,Time spent on agricultural work,A.13.14 Combien de temps dispense ce membre pour travail agricol?,A.13.14 ${mem_nm_13} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_13} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_13}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,14,,mem14,${mem_nm_14},${mem_nm_14},${mem_nm_14},,${mem_nm_14},,,,,,${size} >=14,,,,,,
note,,,note_member_name_14,Please answer the following questions for ${mem_nm_14},Répondez les questions suivants pour ${mem_nm_14},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_14},Répondez les questions suivants pour ${mem_nm_14},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_14},,,,,,,,,,,,
integer,1,A.14.1,age_14,C.14.1 Enter the age of this member,A.14.1 Quel est l'age de ${mem_nm_14},A.14.1 ${mem_nm_14} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_14},${mem_nm_14} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.14.2,age_exact_14,C.1.2 Is the age of the household member exact of approximate?,A.14.2 Est-ce que l'age est exacte ou approximatif?,A.14.2 Je! miaka ya ${mem_nm_14} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_14} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.14.3,literacy_14,C.1.3 Is the household member literate?,A.14.3 Est-ce que${mem_nm_14} est alphabétisé?,A.14.3 Je! ${mem_nm_14} ni musomi?,Est-ce que${mem_nm_14} est alphabétisé?,Je! ${mem_nm_14} ni musomi?,,,,,,${age_14}>4,,,,,yes,
select_one gender_list,4,A.14.4,gender_14,C.1.4 Enter the gender of this member,A.14.4 Quel est le genre de ${mem_nm_14}?,A.14.4 Je! ${mem_nm_14} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_14}?,Je! ${mem_nm_14} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.14.5,relhead_14,C.1.5 Relationship with Household head,A.14.5 Quelle est la relation avec le chef du ménage?,A.14.5 ${mem_nm_14} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_14} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.14.6,resstat_14,What is the residence status within the household?,A.14.6 Quelle est le statut de residence au ménage de ${mem_nm_14}?,A.14.6 Je! ${mem_nm_14} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_14}?,Je! ${mem_nm_14} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.14.7,school_14,What is the level of education?,A.14.7 Quel est le niveau d'education de ${mem_nm_14}?,A.14.7 ${mem_nm_14} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_14}?,${mem_nm_14} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.14.8,reli_14,What is the religion,A.14.8 Quelle est la religion de ${mem_nm_14}?,A.14.8 Dini ya ${mem_nm_14} ni gani?,Quelle est la religion de ${mem_nm_14}?,Dini ya ${mem_nm_14} ni gani?,,,,,,,,,,,yes,
text,9,A.14.9,reli_aut_14,Other religion,A.14.9 Autre religion,A.14.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_14}='96',,,,,yes,
select_one tribe_list,10,A.14.10,etn_14,What is the mother language?,A.14.10 Quelle est le langue maternel de ${mem_nm_14}?,A.14.10 Luga ya ${mem_nm_14} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_14}?,Luga ya ${mem_nm_14} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.14.11,etn_aut_14,Other religion,A.14.11 Autre langue,A.14.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_14}='96',,,,,yes,
select_one occupation_list,12,A.14.12,occup_14,What is the primary occupation,A.14.12 Quelle est la occupation primaire de ${mem_nm_14}?,A.14.12 Kazi ya kawaida ya ${mem_nm_14}?,Quelle est la occupation primaire de ${mem_nm_14}?,Kazi ya kawaida ya ${mem_nm_14}?,,,,,,${age_14}>12,,,,,yes,
text,13,A.14.13,occup_aut_14,Specify,A.14.13 Specifiez,A.14.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_14}='96',,,,,yes,
select_one share5_list,14,A.14.14,timeagr_14,Time spent on agricultural work,A.14.14 Combien de temps dispense ce membre pour travail agricol?,A.14.14 ${mem_nm_14} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_14} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_14}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,15,,mem15,${mem_nm_15},${mem_nm_15},${mem_nm_15},,${mem_nm_15},,,,,,${size} >=15,,,,,,
note,,,note_member_name_15,Please answer the following questions for ${mem_nm_15},Répondez les questions suivants pour ${mem_nm_15},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_15},Répondez les questions suivants pour ${mem_nm_15},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_15},,,,,,,,,,,,
integer,1,A.15.1,age_15,C.15.1 Enter the age of this member,A.15.1 Quel est l'age de ${mem_nm_15},A.15.1 ${mem_nm_15} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_15},${mem_nm_15} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.15.2,age_exact_15,C.1.2 Is the age of the household member exact of approximate?,A.15.2 Est-ce que l'age est exacte ou approximatif?,A.15.2 Je! miaka ya ${mem_nm_15} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_15} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.15.3,literacy_15,C.1.3 Is the household member literate?,A.15.3 Est-ce que${mem_nm_15} est alphabétisé?,A.15.3 Je! ${mem_nm_15} ni musomi?,Est-ce que${mem_nm_15} est alphabétisé?,Je! ${mem_nm_15} ni musomi?,,,,,,${age_15}>4,,,,,yes,
select_one gender_list,4,A.15.4,gender_15,C.1.4 Enter the gender of this member,A.15.4 Quel est le genre de ${mem_nm_15}?,A.15.4 Je! ${mem_nm_15} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_15}?,Je! ${mem_nm_15} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.15.5,relhead_15,C.1.5 Relationship with Household head,A.15.5 Quelle est la relation avec le chef du ménage?,A.15.5 ${mem_nm_15} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_15} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.15.6,resstat_15,What is the residence status within the household?,A.15.6 Quelle est le statut de residence au ménage de ${mem_nm_15}?,A.15.6 Je! ${mem_nm_15} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_15}?,Je! ${mem_nm_15} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.15.7,school_15,What is the level of education?,A.15.7 Quel est le niveau d'education de ${mem_nm_15}?,A.15.7 ${mem_nm_15} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_15}?,${mem_nm_15} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.15.8,reli_15,What is the religion,A.15.8 Quelle est la religion de ${mem_nm_15}?,A.15.8 Dini ya ${mem_nm_15} ni gani?,Quelle est la religion de ${mem_nm_15}?,Dini ya ${mem_nm_15} ni gani?,,,,,,,,,,,yes,
text,9,A.15.9,reli_aut_15,Other religion,A.15.9 Autre religion,A.15.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_15}='96',,,,,yes,
select_one tribe_list,10,A.15.10,etn_15,What is the mother language?,A.15.10 Quelle est le langue maternel de ${mem_nm_15}?,A.15.10 Luga ya ${mem_nm_15} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_15}?,Luga ya ${mem_nm_15} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.15.11,etn_aut_15,Other religion,A.15.11 Autre langue,A.15.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_15}='96',,,,,yes,
select_one occupation_list,12,A.15.12,occup_15,What is the primary occupation,A.15.12 Quelle est la occupation primaire de ${mem_nm_15}?,A.15.12 Kazi ya kawaida ya ${mem_nm_15}?,Quelle est la occupation primaire de ${mem_nm_15}?,Kazi ya kawaida ya ${mem_nm_15}?,,,,,,${age_15}>12,,,,,yes,
